appid,title,publisher_group,language,recommendationid,voted_up,cl_sentiment,cl_theme,cl_pc_specific,cl_lang_group,cl_summary
1113000,Persona 4 Golden,sega_atlus,spanish,206665279,True,positive,gameplay,not_mentioned,spanish,Favorite Persona game despite not playing all entries
1113000,Persona 4 Golden,sega_atlus,ukrainian,206950011,False,negative,other,not_mentioned,russian,Worst entry in the series
1113000,Persona 4 Golden,sega_atlus,schinese,219053956,True,positive,other,not_mentioned,chinese,Favorite entry in the P series
1113000,Persona 4 Golden,sega_atlus,schinese,203122070,False,negative,story,not_mentioned,chinese,"Game queerbaits LGBTQ+ characters, reduces queer expression to safe heteronormativity."
1113000,Persona 4 Golden,sega_atlus,english,217561972,False,negative,other,not_mentioned,english,Reviewer declares this the worst Persona game in the series.
1113000,Persona 4 Golden,sega_atlus,english,218361279,True,mixed,gameplay,not_mentioned,english,Game improves significantly after replacing Teddie as battle announcer.
1113000,Persona 4 Golden,sega_atlus,english,203449211,True,positive,other,not_mentioned,english,Reviewer enthusiastically endorses game based on character Nanako.
1113000,Persona 4 Golden,sega_atlus,schinese,204536396,True,positive,other,not_mentioned,chinese,"Best Persona game, eternal Inaba eighty praise"
1113000,Persona 4 Golden,sega_atlus,french,215749928,True,negative,other,not_mentioned,english,Incomplete review with single word 'peak' - insufficient content.
1113000,Persona 4 Golden,sega_atlus,ukrainian,204304128,True,positive,other,not_mentioned,russian,"School anime game with murder and gambling elements, highly recommended"
1113000,Persona 4 Golden,sega_atlus,english,211683716,True,positive,other,not_mentioned,english,Franchise is a must-play experience for fans
1113000,Persona 4 Golden,sega_atlus,koreana,200923465,True,negative,other,not_mentioned,korean,"Incoherent message, appears to be spam or nonsensical content."
1113000,Persona 4 Golden,sega_atlus,schinese,215881119,True,positive,gameplay,not_mentioned,chinese,Fun game
1113000,Persona 4 Golden,sega_atlus,english,220911408,True,positive,other,not_mentioned,english,"First Persona game, already feels like potential favorite despite brief experience."
1113000,Persona 4 Golden,sega_atlus,english,220907047,True,positive,other,not_mentioned,english,One-word positive expression of approval
1113000,Persona 4 Golden,sega_atlus,english,204405346,True,positive,value,not_mentioned,english,Persona franchise rivals Final Fantasy; worthwhile purchase at full price
1113000,Persona 4 Golden,sega_atlus,english,202074665,True,negative,story,not_mentioned,english,Game's choice system disappointing; player choices don't matter meaningfully.
1113000,Persona 4 Golden,sega_atlus,koreana,219619575,True,positive,graphics,not_mentioned,korean,"Charming rural healing game with rustic, inviting graphics"
1113000,Persona 4 Golden,sega_atlus,schinese,207548178,True,positive,story,not_mentioned,chinese,P4 and P5 thoughtfully explore how youth navigate modern society with immersion
1113000,Persona 4 Golden,sega_atlus,english,220729005,True,positive,story,not_mentioned,english,"Loves story, characters, style; challenging but enjoyable detective horror experience."
1113000,Persona 4 Golden,sega_atlus,italian,218636089,True,mixed,other,not_mentioned,portuguese,Worth trying if you like PS5 royale games.
1113000,Persona 4 Golden,sega_atlus,italian,214139631,True,mixed,other,not_mentioned,portuguese,Reviewer unsure if appreciation for game is genuine or ironic
1113000,Persona 4 Golden,sega_atlus,koreana,215070645,True,positive,gameplay,not_mentioned,korean,"Best game, very fun and excellent"
1113000,Persona 4 Golden,sega_atlus,brazilian,215788538,True,positive,value,not_mentioned,portuguese,Persona exceeded expectations; highly addictive gameplay despite dated aesthetics.
1113000,Persona 4 Golden,sega_atlus,turkish,219484028,True,negative,other,not_mentioned,other,Single word review with unclear intent or meaning.
1113000,Persona 4 Golden,sega_atlus,latam,218519066,True,positive,other,not_mentioned,spanish,"Great game, highly praised with enthusiastic score."
1113000,Persona 4 Golden,sega_atlus,english,201590090,True,negative,other,not_mentioned,english,"Song lyrics, not a game review"
1113000,Persona 4 Golden,sega_atlus,russian,220617936,True,positive,gameplay,not_mentioned,russian,"Excellent JRPG with great story, characters, and music despite modest graphics."
1113000,Persona 4 Golden,sega_atlus,russian,214906665,True,negative,other,not_mentioned,russian,"Incoherent message about anime characters, not a game review."
1113000,Persona 4 Golden,sega_atlus,japanese,207898783,True,mixed,gameplay,not_mentioned,japanese,Improves on predecessors but dungeon monotony persists; JRPG fans should try it.
1113000,Persona 4 Golden,sega_atlus,english,202352881,True,negative,other,not_mentioned,english,Complaint about inappropriate character behavior toward player's girlfriend.
1113000,Persona 4 Golden,sega_atlus,french,221848027,True,mixed,other,not_mentioned,english,Insufficient review content provided for analysis.
1113000,Persona 4 Golden,sega_atlus,spanish,203641859,True,positive,gameplay,not_mentioned,spanish,Game captures romantic relationship feelings and feminine affection well.
1113000,Persona 4 Golden,sega_atlus,japanese,202694609,True,mixed,story,not_mentioned,japanese,"Great story and dialogue, but spoilers everywhere ruin new player experience."
1113000,Persona 4 Golden,sega_atlus,english,208184116,True,positive,gameplay,yes_positive,english,"Excellent JRPG with great cast, story, soundtrack. Plays perfectly on Steam Deck."
1113000,Persona 4 Golden,sega_atlus,english,215441643,True,negative,other,not_mentioned,english,Review content insufficient for analysis
