appid,mean_compound,pct_positive,n_reviews
39210,0.3017,0.574,5075
271590,0.1357,0.2693,5069
397540,0.2108,0.4196,5067
502500,0.1683,0.3624,5083
524220,0.1847,0.3696,4987
553850,0.2073,0.4451,5084
678950,0.1544,0.3566,4978
740130,0.1604,0.3348,4982
860510,0.1127,0.2421,4986
921570,0.2073,0.3619,4977
997070,0.1397,0.3208,4985
1113000,0.2005,0.3585,4993
1113560,0.2289,0.4323,4987
1151640,0.2318,0.4344,5062
1172470,0.104,0.2569,4983
1174180,0.1592,0.3179,4976
1235140,0.2127,0.3949,4983
1237320,0.2374,0.465,5092
1245620,0.1613,0.3303,5084
1295510,0.2319,0.3817,4981
1462040,0.2105,0.3876,4971
1593500,0.1402,0.3267,5075
1649080,0.2693,0.4385,4978
1649240,0.2599,0.5434,4978
1672500,0.2493,0.4121,4069
1680880,0.2254,0.495,4986
1687950,0.1434,0.262,5081
1778820,0.1219,0.355,5085
1790600,0.1496,0.3769,5083
1817070,0.2038,0.3832,4976
1817190,0.1877,0.3618,4973
1888930,0.1582,0.3044,5069
1895880,0.3461,0.5529,5071
1971650,0.1913,0.3015,4985
2022670,0.2712,0.549,3534
2161700,0.1577,0.3264,4979
2195250,0.0916,0.2223,5074
2322010,0.1666,0.3638,5072
2420110,0.2085,0.4328,4963
2446550,0.0781,0.4407,5094
2515020,0.1908,0.409,4981
2561580,0.2763,0.4852,5072
2669320,0.0836,0.2143,4983
2909400,0.2015,0.3893,5084
3035570,0.1796,0.3703,5072
3159330,0.1171,0.298,5074
