publisher_group,title,language,count,pct
bandai_namco,Ace Combat 7,brazilian,217,4.3
bandai_namco,Ace Combat 7,bulgarian,4,0.1
bandai_namco,Ace Combat 7,czech,9,0.2
bandai_namco,Ace Combat 7,danish,2,0.0
bandai_namco,Ace Combat 7,dutch,8,0.2
bandai_namco,Ace Combat 7,english,2482,48.8
bandai_namco,Ace Combat 7,finnish,5,0.1
bandai_namco,Ace Combat 7,french,91,1.8
bandai_namco,Ace Combat 7,german,95,1.9
bandai_namco,Ace Combat 7,greek,4,0.1
bandai_namco,Ace Combat 7,hungarian,5,0.1
bandai_namco,Ace Combat 7,indonesian,11,0.2
bandai_namco,Ace Combat 7,italian,39,0.8
bandai_namco,Ace Combat 7,japanese,136,2.7
bandai_namco,Ace Combat 7,koreana,121,2.4
bandai_namco,Ace Combat 7,latam,66,1.3
bandai_namco,Ace Combat 7,norwegian,3,0.1
bandai_namco,Ace Combat 7,polish,63,1.2
bandai_namco,Ace Combat 7,portuguese,7,0.1
bandai_namco,Ace Combat 7,romanian,1,0.0
bandai_namco,Ace Combat 7,russian,375,7.4
bandai_namco,Ace Combat 7,schinese,960,18.9
bandai_namco,Ace Combat 7,spanish,200,3.9
bandai_namco,Ace Combat 7,swedish,3,0.1
bandai_namco,Ace Combat 7,tchinese,51,1.0
bandai_namco,Ace Combat 7,thai,23,0.5
bandai_namco,Ace Combat 7,turkish,67,1.3
bandai_namco,Ace Combat 7,ukrainian,34,0.7
bandai_namco,Ace Combat 7,vietnamese,1,0.0
bandai_namco,Dragon Ball FighterZ,brazilian,839,16.9
bandai_namco,Dragon Ball FighterZ,czech,3,0.1
bandai_namco,Dragon Ball FighterZ,danish,1,0.0
bandai_namco,Dragon Ball FighterZ,dutch,4,0.1
bandai_namco,Dragon Ball FighterZ,english,2258,45.4
bandai_namco,Dragon Ball FighterZ,finnish,4,0.1
bandai_namco,Dragon Ball FighterZ,french,121,2.4
bandai_namco,Dragon Ball FighterZ,german,38,0.8
bandai_namco,Dragon Ball FighterZ,greek,2,0.0
bandai_namco,Dragon Ball FighterZ,hungarian,5,0.1
bandai_namco,Dragon Ball FighterZ,indonesian,3,0.1
bandai_namco,Dragon Ball FighterZ,italian,32,0.6
bandai_namco,Dragon Ball FighterZ,japanese,16,0.3
bandai_namco,Dragon Ball FighterZ,koreana,37,0.7
bandai_namco,Dragon Ball FighterZ,latam,264,5.3
bandai_namco,Dragon Ball FighterZ,norwegian,1,0.0
bandai_namco,Dragon Ball FighterZ,polish,44,0.9
bandai_namco,Dragon Ball FighterZ,portuguese,22,0.4
bandai_namco,Dragon Ball FighterZ,romanian,2,0.0
bandai_namco,Dragon Ball FighterZ,russian,106,2.1
bandai_namco,Dragon Ball FighterZ,schinese,278,5.6
bandai_namco,Dragon Ball FighterZ,spanish,821,16.5
bandai_namco,Dragon Ball FighterZ,swedish,6,0.1
bandai_namco,Dragon Ball FighterZ,tchinese,21,0.4
bandai_namco,Dragon Ball FighterZ,thai,14,0.3
bandai_namco,Dragon Ball FighterZ,turkish,23,0.5
